Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
Surface Pen (Surface Pro 4 version)	**Surface Pen (Surface Pro 4 version)**\n\nUse the Surface Pen included with your Surface Book to open OneNote and Cortana, take screenshots, mark up presentations, sign documents, and enjoy art apps.\n\nClick the top of the Surface Pen and start writing a Quick Note—like a yellow sticky that you’ll never lose. You don’t even need to unlock your Surface. Click again to write another note or press the power button on your Surface to put the screen back to sleep.\n\nWhile you’re signed in on your Surface, click the top of the pen to open your most recent notes. While you’re using OneNote, click the top of the pen to open a new Quick Note. ✪\n\nYour notes are saved automatically in OneNote and synced to your [OneDrive](http://www.microsoft.com/surface/support/storage-files-and-folders/onedrive-on-surface) (online cloud storage) so you can keep your notes, clippings, sketches, photos, and files organized and accessible from anywhere.\n\nSee Surface Pen later in this guide for more info about using the Surface Pen with your Surface Book.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:surface pen (surface pro 4 version)	[]	False	[]	70	Surface
Accounts and signing in	**Accounts and signing in**\n\nThe account you use to sign in on your Surface Book stores your settings, preferences, and more. For the best experience, use a Microsoft account (an email address and password) to sign in. A Microsoft account gives you seamless access to your Windows apps and social media and backs up your files and photos in the cloud.\n\nYou can create additional accounts for family and friends on your Surface Book. That way each person using it can set it up just the way he or she likes. For more info, see [All about accounts](http://www.microsoft.com/surface/support/security-sign-in-and-accounts/all-about-accounts) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:accounts and signing in	[]	False	[{"DisplayOrder":0,"QnaId":72,"Qna":null,"DisplayText":"First account on your Surface"},{"DisplayOrder":1,"QnaId":73,"Qna":null,"DisplayText":"Sign in to your Surface"},{"DisplayOrder":2,"QnaId":74,"Qna":null,"DisplayText":"Use Windows Hello"},{"DisplayOrder":3,"QnaId":75,"Qna":null,"DisplayText":"Change your password, picture, and other account settings"},{"DisplayOrder":4,"QnaId":76,"Qna":null,"DisplayText":"Add an account to your Surface"},{"DisplayOrder":5,"QnaId":77,"Qna":null,"DisplayText":"Create a child account on your Surface"}]	71	Surface
First account on your Surface	**First account on your Surface**\n\nWhen you set up your Surface, an account is created for you based on information you supply. The first account is set up as an administrator account. From this account, you can create, modify, or remove other accounts on your Surface.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:first account on your surface	[]	False	[]	72	Surface
Sign in to your Surface	**Sign in to your Surface**\n\n1.  Turn on or wake Surface by pressing the power button.\n2.  Swipe up on the screen or tap a key on the keyboard.\n3.  If you see your account name and account picture, enter your password and select the right arrow or press Enter on your keyboard.\n4.  If you see a different account name, select the left arrow. Then select your own account, enter your password, and select the right arrow or press Enter on your keyboard.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:sign in to your surface	[]	False	[]	73	Surface
Use Windows Hello	**Use Windows Hello**\n\nSince Surface Book includes an infrared (IR) camera, you can set it up to recognize your face and sign you in automatically.\n\nTo set up Windows Hello, go to Start , and select Settings > Accounts > Sign-in options. Under Windows Hello, you'll see available sign-in options.\n\nFor more info, see [What is Windows Hello?](http://windows.microsoft.com/en-us/windows-10/getstarted-what-is-hello) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:use windows hello	[]	False	[]	74	Surface
Change your password, picture, and other account settings	**Change your password, picture, and other account settings**\n\nYou can change your password, add or change the picture for your account, and connect to or disconnect from a Microsoft account. Here’s how:\n\n*   1.  Go to Start , select your profile picture, and select Change account settings. \n    2.  Change your account settings by selecting one of the options on the left:\n        *   Your account: You can you can add or create an account picture, connect or disconnect from a Microsoft account, and access other account settings online.\n        *   Sign-in options: You can change your password, create a picture password or PIN, and choose whether a password is required when waking your Surface from sleep. To make these changes, you’ll need your account password. If you don’t have a password, you can create one here.\n        *   Work or school: If you have an account on a network that you sign in to for work or school, you can connect your Surface to that network. Ask your network administrator or IT department for the info you’ll need to join that network.\n        *   Sync your settings: Your Microsoft account makes it easy to have the same theme, apps, and browser settings on all your devices. If you’d rather that some of these settings be unique to your Surface, you can turn off sync here.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:change your password, picture, and other account settings	[]	False	[]	75	Surface
Add an account to your Surface	**Add an account to your Surface**\n\n1.  Sign in with an administrator account.✪\n2.  Go to Start , select your profile picture, and select Change account settings. \n3.  Select Family & other users > Add someone else to this PC. \n4.  Follow the on-screen instructions to set up the account.\n\nYou can change account levels after you set up an account. To learn how, see [Change another](http://www.microsoft.com/surface/support/security-sign-in-and-accounts/all-about-accounts?os=windows-10#canichangeW10) [user’s account type](http://www.microsoft.com/surface/support/security-sign-in-and-accounts/all-about-accounts?os=windows-10#canichangeW10) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:add an account to your surface	[]	False	[]	76	Surface
Create a child account on your Surface	**Create a child account on your Surface**\n\n1.  Sign in with an administrator account.✪\n2.  Go to Start , select your profile picture, and select Change account settings. \n3.  Select Family & other users. \n4.  Under Your family, select Add a family member > Add a child and choose one of the following:\n    *   To use the child's existing Microsoft account email address, enter the child's email address and select Next. \n    *   To create a Microsoft account for the child, select The person I want to invite doesn’t have an email address. Follow the on-screen instructions to either associate the new Microsoft account with an email account that the child currently uses or set up a new account.\n\nYou can limit your child's computer time or limit the apps, websites, and games your child can access. See [Set up your family](http://windows.microsoft.com/en-us/windows-10/getstarted-set-up-your-family) on Windows.com to learn how to turn on Family Safety features that are built into Windows.\n\nFor more info on adding, removing, and managing your accounts or your kids’ accounts, see [All](http://www.microsoft.com/surface/support/security-sign-in-and-accounts/all-about-accounts) [about accounts](http://www.microsoft.com/surface/support/security-sign-in-and-accounts/all-about-accounts) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:create a child account on your surface	[]	False	[]	77	Surface
Get to know Windows 10	**Get to know Windows 10**\n\nNew to Windows 10? Get acquainted with new features like task view and custom desktops, the improved Start menu, and more. See [Get Started with Windows 10](http://windows.microsoft.com/en-us/windows-10/get-to-know-windows-10) on Windows.com for more info.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:get to know windows 10	[]	False	[{"DisplayOrder":0,"QnaId":79,"Qna":null,"DisplayText":"Go to Start"},{"DisplayOrder":1,"QnaId":80,"Qna":null,"DisplayText":"Action center"},{"DisplayOrder":2,"QnaId":81,"Qna":null,"DisplayText":"Search"},{"DisplayOrder":3,"QnaId":82,"Qna":null,"DisplayText":"Task view and virtual desktops"},{"DisplayOrder":4,"QnaId":83,"Qna":null,"DisplayText":"Settings in Windows 10"}]	78	Surface
Go to Start	**Go to Start**\n\nSelect Start  in the taskbar or press the Start  key on your keyboard to open the Start menu.\n\n*   ✪\n    *   In the lower-left corner, you'll find quick links to File Explorer,  Settings,  Power (shut down, sleep, and restart), and All apps. \n    *   The apps you've used most often appear at the upper left.\n    *   Your name and profile picture appear at the top left. Select them to change your account settings, lock the screen, or sign out.\n\nTiles on Start act as quick links to apps. You can rearrange, resize, add, and remove tiles whenever you want. For more info, see [Love it? Pin it](http://windows.microsoft.com/en-us/windows-10/getstarted-love-it-pin-it) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:go to start	[{"ClusterHead":"go sdk","TotalAutoSuggestedCount":32,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"go sdk","AutoSuggestedCount":32,"UserSuggestedCount":0}]}]	False	[]	79	Surface
Action center	**Action center**\n\n*   Swipe in from the right edge of the screen or select Action center in the taskbar to open the Action center.\n\nHere, you can adjust common settings like Wi-Fi connections or screen brightness, open OneNote, create a wireless connection to another screen, and more. If there are notifications waiting for you, they appear at the top of the Action center.\n\nFor more info, see [Take action instantly](http://windows.microsoft.com/en-us/windows-10/getstarted-take-action) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:action center	[]	False	[]	80	Surface
Search	**Search**\n\nSearch is always ready for you. Select the search box in the taskbar. Learn more at [Search for](http://windows.microsoft.com/en-us/windows-10/getstarted-search-for-anything-cortana) [anything, anywhere](http://windows.microsoft.com/en-us/windows-10/getstarted-search-for-anything-cortana) on Windows.com.\n\n✪\n\nOr, go to Start , and select Cortana . For more info, including tips on personalizing Cortana, see [What is Cortana?](http://windows.microsoft.com/en-us/windows-10/getstarted-what-is-cortana) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:search	[]	False	[]	81	Surface
Task view and virtual desktops	**Task view and virtual desktops**\n\nSwipe in from the left edge of the screen or select Task view in the taskbar to see all your open apps. Select an app to focus on or close an app by clicking the X in the upper-right corner of the app.\n\nWhile you're in Task view, you can create a new virtual desktop by selecting New desktop in the lower-right corner. Each virtual desktop can have its own set of open apps. To switch between desktops, open Task view and select a desktop.\n\nFor more info, see [Group apps into desktops](http://windows.microsoft.com/en-us/windows-10/getstarted-group-apps) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:task view and virtual desktops	[]	False	[]	82	Surface
Settings in Windows 10	**Settings in Windows 10**\n\nGo to Start , and select Settings for access to all your settings.\n\n✪\n\nFor info on personalizing your Windows 10 experience, see Personalization and settings in this guide.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:settings in windows 10	[]	False	[]	83	Surface
Keep your Surface Book up to date	**Keep your Surface Book up to date**\n\nKeep your Surface Book performing its best by getting the latest performance and security updates.\n\nMicrosoft releases updates to improve Windows software security and reliability, and system and hardware updates (also known as firmware updates) to help improve the stability and performance of your Surface hardware.\n\nWhen updates become available, they’re installed automatically on your Surface over Wi-Fi. Windows notifies you if you need to restart your Surface to finish installing an update.\n\nFor info on keeping your Surface up to date, see [Install Surface and Windows updates](http://www.microsoft.com/surface/support/performance-and-maintenance/install-software-updates-for-surface) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:keep your surface book up to date	[]	False	[]	84	Surface
Browse the Internet	**Browse the Internet**\n\n Microsoft Edge works with Cortana to help you get the most from the Internet, and you can use your Surface Pen or touch to create Web Notes that you can save or share.\n\n✪ To open Microsoft Edge, select it from Start or the taskbar. Or, go to Start , and select All apps > Microsoft Edge. \n\nThe first time you start Microsoft Edge, you’ll see the default start page with the address bar in the center.\n\nEnter a web address or search term in the address bar and press Enter. \n\nUse the arrows in the upper-left corner to return to sites you’ve visited during a browsing session or select the address bar to see sites you visit often. ✪\n\nSelect Share  to share webpages with friends.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:browse the internet	[]	False	[{"DisplayOrder":0,"QnaId":86,"Qna":null,"DisplayText":"Browsing tips"}]	85	Surface
Browsing tips	**Browsing tips**\n\n✪\n\n*   Select Add to favorites and reading list to add a page to your reading list or a favorites folder.✪ ✪ ✪ ✪\n*   Select Hub to view items in your Favorites , Reading list , History , or Downloads .✪✪\n*   Select Reading view to clear away everything but the article you’re reading. Select it again to view the entire page.\n\nFor more info, see [Microsoft Edge](http://windows.microsoft.com/en-us/windows-10/microsoft-edge) on Windows.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:browsing tips	[]	False	[]	86	Surface
Storage options	**Storage options**\n\nSurface Book is available with up to 16 GB of RAM and 512 GB storage. You can extend your storage options by using OneDrive, USB drives, and SD cards.\n\nNote: Pre-installed software and apps use a significant amount of space. See [Surface storage](https://www.microsoft.com/surface/support/storage) on Surface.com for details about formatted storage capacity.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:storage options	[]	False	[{"DisplayOrder":0,"QnaId":88,"Qna":null,"DisplayText":"OneDrive: Cloud storage"},{"DisplayOrder":1,"QnaId":89,"Qna":null,"DisplayText":"Removable storage options"}]	87	Surface
OneDrive: Cloud storage	**OneDrive: Cloud storage**\n\nOneDrive is online storage that comes with your Microsoft account. Save your documents, photos, and other files to the OneDrive folder on your Surface and they'll be synced to OneDrive in the cloud whenever you have an Internet connection. The copy in the cloud is available to you from any web-connected device. You can share folders in your OneDrive with others or send someone a link to just one page. For more info, see [Using OneDrive on Surface](http://www.microsoft.com/surface/support/storage-files-and-folders/Onedrive-on-surface) on Surface.com.\n\nTo save space on your Surface, you can choose not to sync some of your OneDrive folders. You can still access your files on the Internet by signing in to [OneDrive.com](http://onedrive.com/) , but they won't be available in File Explorer. You can add them back at any time.\n\nHere's how to choose which folders to sync:\n\n1.  Select File Explorer  in the taskbar and open the OneDrive folder.\n2.  Right-click any folder in OneDrive and select Choose OneDrive folders to sync to produce a list of all the folders in your OneDrive account.\n3.  Select the folders you want to sync to your Surface and select OK. \n\nTo save a file from a desktop app directly to OneDrive, choose OneDrive in the left panel of the Save As screen. Then navigate to the folder where you want to save the file.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:onedrive: cloud storage	[]	False	[]	88	Surface
Removable storage options	**Removable storage options**\n\nYou can use USB storage or a full-size SD card with your Surface Book to store your documents, music, videos, and pictures.\n\nFor the locations of the USB port and microSD card slot on your Surface, see Surface Book features in this guide.\n\nTo open files from an external device:\n\n1.  Insert a USB flash drive or other USB storage device into the USB port or insert an SD card into the card slot on your Surface.\n2.  Select the notification that appears in the lower-right corner of the screen.\n3.  Select Open device to view files or Sync digital media files to this device. \n\nFor more info about internal and removable storage options, see [Surface storage options](http://www.microsoft.com/surface/support/storage-files-and-folders/surface-storage-options) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:removable storage options	[{"ClusterHead":"sdk","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"sdk","AutoSuggestedCount":1,"UserSuggestedCount":0}]},{"ClusterHead":"adaptive cards","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"adaptive cards","AutoSuggestedCount":10,"UserSuggestedCount":0}]},{"ClusterHead":"Removable storage options","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"Removable storage options","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[]	89	Surface
Surface Pen	**Surface Pen**\n\nYou can use the Surface Pen included with your Surface Book to open OneNote and Cortana, take screenshots, mark up presentations, sign documents, and use art apps.\n\n| Magnetic surface | Use the magnet on the flat side of the cap to attach your Surface Pen to the side of your Surface Book or to any convenient magnetic surface. |\n| --- | --- |\n| LED | When the pen is in pairing mode, the LED glows white. When the battery is low, the LED glows red. |\n| Top button | Bluetooth® technology links your Surface Pen to your Surface Book:   Click and hold the top button to wake up Cortana or Search and then enter your question on the screen. |\n\n|  | *   Click the top button to open OneNote.   Double-click to take a screenshot and paste it into OneNote. To erase, flip the pen over and use the top as an eraser. |\n| --- | --- |\n| Right-click button | The tip end of the raised area on the flat side of the pen works as a right-click button in many apps.  Hold the button down as you tap the screen. In some apps, the right-click button may behave differently |\n| Tip | Choose your favorite tip from the Pen Tip Kit (sold separately). The tips work with the Palm Block technology and multi-point sensitivity built into your Surface to let you write and draw naturally. |	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:surface pen	[{"ClusterHead":"surface","TotalAutoSuggestedCount":2,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"surface","AutoSuggestedCount":2,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":0,"QnaId":91,"Qna":null,"DisplayText":"Pair your pen with Surface Book"},{"DisplayOrder":1,"QnaId":92,"Qna":null,"DisplayText":"Use features built into the top button"},{"DisplayOrder":2,"QnaId":96,"Qna":null,"DisplayText":"Customize your Surface Pen"},{"DisplayOrder":3,"QnaId":100,"Qna":null,"DisplayText":"Magnetic surface"},{"DisplayOrder":4,"QnaId":101,"Qna":null,"DisplayText":"LED"},{"DisplayOrder":5,"QnaId":102,"Qna":null,"DisplayText":"Top button"},{"DisplayOrder":6,"QnaId":103,"Qna":null,"DisplayText":"Right-click button"},{"DisplayOrder":7,"QnaId":104,"Qna":null,"DisplayText":"Tip"}]	90	Surface
Pair your pen with Surface Book	**Pair your pen with Surface Book**\n\nBefore you use your Surface Pen, you’ll need to pair it with your Surface Book. You may have paired the Surface Pen while setting up your Surface Book. If you didn’t pair your pen during setup, you can do it manually. See [Using Surface Pen](http://www.microsoft.com/surface/support/hardware-and-drivers/surface-pen-pro-4) on Surface.com to learn how.\n\nIf you have problems using or pairing your pen, see [Troubleshoot Surface Pen](http://www.microsoft.com/surface/support/hardware-and-drivers/troubleshoot-surface-pen-pro-4) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:pair your pen with surface book	[]	False	[]	91	Surface
Use features built into the top button	**Use features built into the top button**\n\nThe top button connects you to OneNote and Windows 10 features on your Surface Book.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:use features built into the top button	[]	False	[{"DisplayOrder":0,"QnaId":93,"Qna":null,"DisplayText":"Click and hold to open Cortana or Search"},{"DisplayOrder":1,"QnaId":94,"Qna":null,"DisplayText":"Click to open a Quick Note in OneNote"},{"DisplayOrder":2,"QnaId":95,"Qna":null,"DisplayText":"Save screenshots in OneNote"}]	92	Surface
Click and hold to open Cortana or Search	**Click and hold to open Cortana or Search**\n\nWhen you click and hold the top button, Cortana opens (or Search opens if Cortana is not set up). Enter your question on the screen.\n\nNote: To use this feature, your Surface needs to be nearby and turned on.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:click and hold to open cortana or search	[]	False	[]	93	Surface
Click to open a Quick Note in OneNote	**Click to open a Quick Note in OneNote**\n\nOneNote is a free app that you can use on any of your devices, even Mac, iOS, and Android devices. Your data is stored in the cloud and synced across all your devices. OneNote is a great way to find, capture, organize, and share information. Click the top button on your pen while your Surface is asleep and you can jot a note or sketch immediately, without unlocking the screen. When you’re using your Surface, click the top button to open OneNote.\n\nNote: While your Surface is locked, you can use only the top button. The right-click button won’t work until after you unlock your Surface by signing in.\n\nFor more info, see [Using OneNote on Surface](https://www.microsoft.com/surface/support/office-apps/take-notes-with-onenote) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:click to open a quick note in onenote	[]	False	[]	94	Surface
Save screenshots in OneNote	**Save screenshots in OneNote**\n\nYou can use your Surface Pen to take a screenshot and copy it to OneNote. Here's how:\n\n1.  Display what you want to copy. It can be a webpage, a photo, or anything else you see on your screen.\n2.  Double-click the top button on your Surface Pen.\n3.  Select what you want to capture in the screenshot by dragging the tip of the pen from one corner of the portion you want to capture to the opposite corner. When you lift the pen tip, your selection appears in a new page in OneNote.\n\nNow you can mark up the screenshot with the pen, move it to any of your OneNote notebooks, or share it with others.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:save screenshots in onenote	[]	False	[]	95	Surface
Customize your Surface Pen		https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:customize your surface pen	[]	False	[{"DisplayOrder":0,"QnaId":97,"Qna":null,"DisplayText":"Set left or right handedness"},{"DisplayOrder":1,"QnaId":98,"Qna":null,"DisplayText":"Adjust pressure sensitivity"},{"DisplayOrder":2,"QnaId":99,"Qna":null,"DisplayText":"Change pen tips"}]	96	Surface
Set left or right handedness	**Set left or right handedness**\n\nYou can change where menus appear on your Surface screen by indicating which hand you write with. Here’s how:\n\n1.  Select the search box in the taskbar, enter hand, and in the search results, select Specify which hand you write with. \n2.  Under Tablet PC Settings, select Right-handed or Left-handed > Apply > OK. \n\nFor more info, see [Using Surface Pen](http://www.microsoft.com/surface/support/hardware-and-drivers/surface-pen-pro-4) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:set left or right handedness	[]	False	[]	97	Surface
Adjust pressure sensitivity	**Adjust pressure sensitivity**\n\nUse the Surface app to set the pressure sensitivity to suit your writing style. The app is free from the Windows Store. For more info, see [Install and use the Surface app](http://www.microsoft.com/surface/support/apps-and-windows-store/surface-app) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:adjust pressure sensitivity	[]	False	[]	98	Surface
Change pen tips	**Change pen tips**\n\nThe Pen Tip Kit (sold separately) contains a tip removal tool and four tips: 2H (very low friction), H (low friction), HB (medium friction), and B (high friction). Choose the tip that’s best for the way you write. You can get the kit at a Microsoft Store or [online](http://www.microsoftstore.com/) .\n\nHere’s how to change tips:\n\n1.  Grasp the tip that’s in the pen and pull the tip straight out.If you have trouble grasping the tip, use the tip removal tool included with the tip kit.\n2.  Insert the base of the tip into the pen opening and push the tip in until it locks into place.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:change pen tips	[]	False	[]	99	Surface
Magnetic surface	** Magnetic surface**\nis Use the magnet on the flat side of the cap to attach your Surface Pen to the side of your Surface Book or to any convenient magnetic surface.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	100	Surface
LED	** LED**\nis When the pen is in pairing mode, the LED glows white. When the battery is low, the LED glows red.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	101	Surface
Top button	** Top button**\nis Bluetooth® technology links your Surface Pen to your Surface Book:  Click and hold the top button to wake up Cortana or Search and then enter your question on the screen.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	102	Surface
Right-click button	** Right-click button**\nis The tip end of the raised area on the flat side of the pen works as a right-click button in many apps.  Hold the button down as you tap the screen. In some apps, the right-click button may behave differently	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	103	Surface
Tip	** Tip**\nis Choose your favorite tip from the Pen Tip Kit (sold separately). The tips work with the Palm Block technology and multi-point sensitivity built into your Surface to let you write and draw naturally.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	generatedfromtable:true	[]	False	[]	104	Surface
Apps and the Windows Store	**Apps and the Windows Store**\n\nYour Surface Book comes with pre-installed apps to help you stay connected, entertained, informed, and productive. To see a list of installed apps, go to Start , and select All apps. Select an app to open it.\n\nTo pin an app you use frequently to Start or the taskbar, press and hold the app in the All apps list and then release it. Or, right-click the app in the All apps list. Then select Pin to Start or Pin to taskbar. For more info, see [Start, find, and close apps on Surface](http://microsoft.com/surface/support/apps-and-windows-store/start-and-close-apps) on Surface.com.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:apps and the windows store	[]	False	[{"DisplayOrder":0,"QnaId":106,"Qna":null,"DisplayText":"Apps on Surface Book"},{"DisplayOrder":1,"QnaId":111,"Qna":null,"DisplayText":"Get more apps from the Windows Store"}]	105	Surface
Apps on Surface Book	**Apps on Surface Book**\n\nHere are some of the apps that come ready to go on your new Surface Book.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf	explicitlytaggedheading:apps on surface book	[]	False	[{"DisplayOrder":0,"QnaId":107,"Qna":null,"DisplayText":"OneNote"},{"DisplayOrder":1,"QnaId":108,"Qna":null,"DisplayText":"Microsoft Edge"},{"DisplayOrder":2,"QnaId":109,"Qna":null,"DisplayText":"Groove Music"},{"DisplayOrder":3,"QnaId":110,"Qna":null,"DisplayText":"Movies & TV"}]	106	Surface
OneNote	**OneNote**\n\nYou can use the OneNote app on your Surface to take notes and store them in the cloud. With OneNote, you’ll have your notes whenever you need them—on your computer, phone, or the web. If you have the Bluetooth-enabled Surface Pen, you can open OneNote with a click of the pen’s top button. For more info, see [Using OneNote on Surface](http://www.microsoft.com/surface/support/office-apps/take-notes-with-onenote) on Surface.com.\n\n Mail \n\nMail automatically organizes your inbox. You can add multiple accounts and access them through this single point. You can also flag, archive, or delete messages by swiping to the left or right, or mark messages as read or unread. See [Set up and use email](http://www.microsoft.com/surface/support/email-and-communication/mail) on Surface.com to get started.\n\n  Calendar \n\nUse Calendar to manage your busy schedule. Use the What's next view to see what’s on the schedule, or look at entire days, weeks, workweeks, or months.\n\n People \n\nThe People app brings all your contacts together in a single place. See each contact’s email address, phone number, website, and other information at a glance.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[]	107	Surface
Microsoft Edge	**Microsoft Edge**\n\nMicrosoft Edge gives you fast and fluid access to the Internet. Open pages in Reading View, save them to your reading list, or take notes right on the page using inking. Check out [Get to know](http://windows.microsoft.com/en-us/windows-10/getstarted-get-to-know-microsoft-edge) [Microsoft Edge](http://windows.microsoft.com/en-us/windows-10/getstarted-get-to-know-microsoft-edge) on Windows.com for details.	https://download.microsoft.com/download/7/B/1/7B10C82E-F520-4080-8516-5CF0D803EEE0/surface-book-user-guide-EN.pdf		[]	False	[]	108	Surface
